url,desc_video,like_count,comment_count,like,time_container,timestamp,user
https://www.tiktok.com/@khongyeuai_9/video/7155857108003491099?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lưu úp sờ to ri đi các bàaaa#baochau090209🤡 #xuhuongtiktok,150.8K,522,1,00:02/00:07,1672724334.8718681,MSI I5
https://www.tiktok.com/@trangtay456/video/7157635048634584363?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lại là em cô y tá xinh đẹp đây #gaixinh #xuhuong #fyp,109.4K,459,1,00:02/00:09,1672724338.7121263,MSI I5
https://www.tiktok.com/@trieulanv11/video/7165853077734460699?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,cũng là hoa chuối mà nó lạ lắm #xuhuong #typ,1948,49,0,00:00/00:08,1672724341.0225482,MSI I5
https://www.tiktok.com/@lee.cuong/video/7159542204128627995?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Lễ trừ tà rùng rợn đáng sợ nhất nước Mỹ #Mồiquỷdữ #TiktokSoiPhim #Halloween2022 #leecuong,278K,7600,0,00:00/01:56,1672724343.034181,MSI I5
https://www.tiktok.com/@06091999duy/video/7172045909289651483?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trả lời @Du Trịnh Nghiên chụp kỷ yếu nữa. Video e đăng z cũng có người coppy nữa chán chả muốn nói 🗣️ #aodaivietnam #hocsinh #hocsinhcabiet #xuhuongtiktok,154.4K,332,1,00:07/00:12,1672724353.042008,MSI I5
https://www.tiktok.com/@coca.2hand/video/7161499976936197403?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#tiktokshop #xuhuong2022 #nghethuatquangcao #doanvat Siêu đỉnh,358.9K,229,0,00:01/00:44,1672724356.0502272,MSI I5
https://www.tiktok.com/@4am.hairstudiooo/video/7152729120902794523?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Nhuộm mà đỏ cherry cho bé học lớp 14 😍,155K,265,1,00:01/01:05,1672724358.7723646,MSI I5
https://www.tiktok.com/@cartoon.247/video/7174994596752100651?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#cartoon #relax #shortvideos #entertainment #funny #pet,196.7K,184,0,00:02/00:34,1672724362.0765586,MSI I5
https://www.tiktok.com/@0sam_ne/video/7163456757442858267?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuong,88.5K,1934,0,00:03/00:10,1672724367.0863922,MSI I5
https://www.tiktok.com/@scarything01/video/7167176794242567450?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#fyp #foryoupage #viral #viralvideo #xuhuong #scary #scarything01,88.4K,1824,1,00:09/00:14,1672724378.1018348,MSI I5
https://www.tiktok.com/@1900hairsalonn/video/7173116003117845787?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,"Chúc em mạnh khoẻ,bình an và hạnh phúc ạ ❤️ #hiếntóc #hientoc #goclamdep #beautytok #dcgr",685.5K,7435,0,00:02/01:01,1672724382.1100628,MSI I5
https://www.tiktok.com/@hoangminhngoc21/video/7182436983631908122?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Nhờ nhân viên Haidilao makeup hộ mà hơi bất ngờ nha =)) #minhngocbeauty #vulaci #reviewlamdep #goclamdep,7973,18,1,00:04/00:13,1672724387.824981,MSI I5
https://www.tiktok.com/@nguyenkhanh8160/video/7172494081518472490?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Jerry funeral😔#hoathinhhaihuoc #tomandjerry #tom #jerry #catoon #xuhuongtiktok #tomandjerry #fyp #fyp,1.4M,15.4K,1,00:07/00:59,1672724397.1462052,MSI I5
https://www.tiktok.com/@ndp_2002/video/7183246746154274074?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ai sẽ là người may mắn??? #CapCut #ndp_2002 #xuhuong #gcent,639.6K,231,0,00:00/00:14,1672724399.1491983,MSI I5
https://www.tiktok.com/@dancerminhx/video/7180673641573633282?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trend dễ nhưng rất hay dc @Nhất Minh ✨ #LeCirque #Minhx #dạy #nhảy,78.8K,284,1,00:02/00:14,1672724403.0884023,MSI I5
https://www.tiktok.com/@funnymoments.offical/video/7152743296635325697?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Không có cơ hội nào giành cho tao - Ghế said #meme #fyp #j4f #lol #xh #fypシ #anhdaden,8692,353,0,00:00/00:04,1672724404.8110464,MSI I5
https://www.tiktok.com/@ntnn20001/video/7183632227891301658?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,tết zui tết zẻe ❤️❤️ #viral #fyp #gei #xh,33.5K,263,0,00:00/00:10,1672724417.1912239,MSI I5
https://www.tiktok.com/@chuyensilepodgiare_q7/video/7183230483868699931?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#CapCut #xuhuong #podhut1lan hàng ngon 🤤 kèm dây 💨,53.3K,839,1,00:04/00:18,1672724422.9282107,MSI I5
https://www.tiktok.com/@khoiplus2k10_/video/7158806668002823451?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Khi đủ 18 tuổi bạn sẽ mua xe gì?#xuhuongtiktok #xedodep❤️ #xedovietnam🇻🇳 #khoiplus2k10_,42.8K,4979,0,00:02/00:10,1672724427.215446,MSI I5
https://www.tiktok.com/@nhopnhep.vn/video/7163291241407466779?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Ai nổi da gà khum ? #dalali #food #anvatnhopnhep #ancungtiktok #anvat #giadinh #banhtrungchay #banhtrungchaynganlop #mono #waitngforyou,969,4,1,00:01/00:06,1672724429.9346194,MSI I5
https://www.tiktok.com/@thanhhair2002/video/7180143747336768795?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Người thương tôi vô điều kiện🥰,26.7K,527,0,00:00/00:10,1672724432.2327583,MSI I5
https://www.tiktok.com/@khahgiangg/video/7164381734967069958?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Chờ mãi cái sound này =)))) #fypシ゚viral,29.4K,63,0,00:02/00:15,1672724436.2434545,MSI I5
https://www.tiktok.com/@memehaophong/video/7155394744925850926?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,#xuhuong #meme #fyp,90.8K,1669,0,00:00/00:10,1672724438.2498171,MSI I5
https://www.tiktok.com/@bobo_le/video/7175770035959434523?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,Trend gì mà mỏi chân xỉu á 😂 #bobodancestudio #xuhuong #choemmotlanyeu,37.5K,145,0,00:01/00:15,1672724441.2620468,MSI I5
https://www.tiktok.com/@tuyenmup201/video/7180926259575213358?is_from_webapp=1&sender_device=pc&web_id=7182418827752818177,cái tay hư quá🤭#xuhuong #GiangSinh2022 #fyp #gaixinh #xuhuongtiktok,174.2K,1660,0,00:03/00:06,1672724446.2708075,MSI I5
